"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202310,Direct Study Abroad,10474,ABRD 999,002,0,Abroad Invoice - Direct Study,Required for Direct Study Abroad.,,,TBA,Full Semester Courses,TBA,,2,25,0/0,0/0,23,,
202310,Guilford,10055,ACCT 201,001,4,Introduction to Accounting,"In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Wencel, Mark",DUKE 303,Twelve Week Course,TR,10:45am - 12:45pm,19,18,0/0,0/0,0,,
202310,Guilford,10890,ACCT 201,002,4,Introduction to Accounting,"In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Wencel, Mark",KING 226,Twelve Week Course,TR,1:00pm - 3:00pm,19,18,0/0,0/0,0,,
202310,Guilford,11195,ACCT 250,001,4,Personal Finance,"In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Wencel, Mark",KING 205,3 Week Session,MTWRF,2:00pm - 5:00pm,27,25,0/0,0/0,0,,
202310,Guilford,10062,ACCT 302,001,4,Intermediate Accounting II,"Prerequiste: ACCT 301 and passing business math test. In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Granger, Henry",KING 203,Twelve Week Course,TR,1:00pm - 3:00pm,7,18,0/0,0/0,11,,
202310,Guilford,11194,ACCT 311,001,4,Cost Accounting,"In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Granger, Henry",KING 202,Twelve Week Course,TR,8:30am - 10:30am,4,18,0/0,0/0,14,,
202310,Guilford,10061,ACCT 411,001,4,Auditing,"Prerequiste: ACCT 302.  In-person if safety permits, otherwise synchronous online.",On-Campus Course,"Granger, Henry",KING 202,Twelve Week Course,TR,10:45am - 12:45pm,5,18,0/0,0/0,13,,
202310,Guilford,11282,AFAM 259,001,4,ADHD and African Am Children,Online asynchronous,Online Asynchronous,"Tinsley, Karen", ,3 Week Session,TBA,TBA,17,25,0/0,0/0,8,25,
202310,Guilford,10349,ART 102,001,4,Visual Communications,No prerequisite. On Campus  Course fee: $25.,On-Campus Course,"Thomas, William",HCOX 202,Twelve Week Course,TR,8:30am - 11:30am,20,22,,6/1,2,,
202310,Guilford,10895,ART 102,002,4,Visual Communications,No prerequisite. Course fee: $25. On campus course.,On-Campus Course,"Sebastian, Neeraj",HCOX 202,Twelve Week Course,MW,2:15pm - 5:15pm,12,22,,2/1,10,,
202310,Guilford,10348,ART 104,001,4,Drawing Fundamentals, $25 course fee. On campus course..,On-Campus Course,"Reichhardt, Miranda",HCOX 202,Twelve Week Course,TR,11:45am - 2:45pm,22,22,,2/1,0,,
202310,Guilford,10350,ART 106,001,4,Design of Objects,No prerequisite. On campus course. Course fee: $65.,On-Campus Course,"Dixon, Mark",HCOX 120,Twelve Week Course,MW,2:15pm - 5:15pm,15,18,,4/1,3,,
202310,Guilford,10352,ART 212,001,4,Paint. Basics:Abstraction/Mat.,No prerequisite. Course fee: $65. On campus course.,On-Campus Course,"Thomas, William",HCOX 200,Twelve Week Course,TR,11:45am - 2:45pm,7,12,,0/1,4,,
